Semestr | Zapsáno | Známka 1 | Známka 2 | Známka 3 | Známka 4 | Se zápočtem
LS 2012/13 | 171 | 3 | 13 | 37 | 4 | 57
LS 2013/14 | 203 | 9 | 17 | 38 | 2 | 66
LS 2014/15 | 165 | 4 | 16 | 32 | 1 | 53
LS 2015/16 | 160 | 3 | 11 | 21 | 2 | 37
LS 2016/17 | 164 | 4 | 12 | 31 | 2 | 49
LS 2017/18 | 182 | 10 | 12 | 26 | 2 | 50
LS 2018/19 | 124 | 7 | 14 | 19 | 2 | 42
LS 2019/20 | 157 | 9 | 20 | 30 | 8 | 67
LS 2020/21 | 160 | 11 | 16 | 13 | 10 | 50
