Semestr | Zapsáno | Známka 1 | Známka 2 | Známka 3 | Známka 4 | Se zápočtem
LS 2012/13 | 136 | 2 | 10 | 26 | 0 | 38
LS 2013/14 | 174 | 1 | 11 | 29 | 0 | 41
LS 2014/15 | 137 | 0 | 9 | 34 | 0 | 43
LS 2015/16 | 130 | 1 | 8 | 23 | 0 | 32
LS 2016/17 | 133 | 5 | 9 | 20 | 0 | 34
LS 2017/18 | 166 | 11 | 13 | 20 | 4 | 48
LS 2018/19 | 126 | 3 | 5 | 24 | 0 | 32
LS 2019/20 | 160 | 4 | 13 | 27 | 0 | 44
LS 2020/21 | 171 | 9 | 6 | 23 | 0 | 38
